git_add_path	files	bytes
a3_recovery/regen_1541/bench/.claude/plans/Drivers/experiments/harness/exp5_prompt_producer.md	1	25844
a3_recovery/regen_1541/evidence/transcript/accepted_prefix.jsonl	1	210560179
a4_recovery/regen_1570/foundation/a3/bench/.claude/plans/Drivers/experiments/one_item_benchmark_inventory.json	1	86421
a4_recovery/regen_1570/foundation/a3/bench/.claude/plans/Drivers/experiments/runs/a3_serial_run/receipt.json	1	138988
a4_recovery/regen_1570/foundation/out/5/a4_dir.txt	1	176
a4_recovery/regen_1570/targeted_1589/final_adjudication_1500/out/attempt4/A/final_targeted.manifest.json	1	15427
a4_recovery/regen_1570/targeted_1589/final_adjudication_1500/out/attempt4/A/prompt_prefix_final_targeted.txt	1	54248
a4_recovery/regen_1570/targeted_1589/final_adjudication_1500/out/attempt5/A/LAUNCHERS.tsv	1	1508
a4_recovery/regen_1570/targeted_1589/final_adjudication_1500/out/attempt5/A/OPENED.tsv	1	580405
a4_recovery/regen_1570/targeted_1589/hard_review_1495/inputs/pointers/hr_dir.txt	1	179
a4_recovery/regen_1570/targeted_1589/hard_review_1495/out/attempt10/A/LAUNCHERS.tsv	1	3574
a4_recovery/regen_1570/targeted_1589/phase1_targeted_1488/inputs/one_item_benchmark_inventory.v2_1487.json	1	134064
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/A6_R3_SOURCES.json	1	105
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/MANIFEST_1726.sha256	1	7411
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/freeze_1726.py	1	1056
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/patch_replay.py	1	3791
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/proved/a6_launch_freeze.f0d7b828.py	1	33302
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/proved/budget_receipt_1508.43cb6232.py	1	8878
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/proved/evidence_1495.py	1	6576
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/recover_a4_owner.py	1	24689
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/tests	5	20093
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/verify_prior_unit.py	1	1139
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/budget_inputs_1720/MANIFEST_g23.sha256	1	10945
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/budget_inputs_1720/out_g1/tmp__a7_g1_event_run4__root.json	1	36454
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/budget_inputs_1720/out_g23/tmp__a7_g2_candidate__a7_g1_candidate.json	1	25106
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/budget_inputs_1720/out_g23/tmp__a7_g3_candidate__a7_g1_candidate.json	1	65280
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/inputs/history_store/WORKFLOWS.tsv	1	17679
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/inputs/receipts/a7_budget_receipt_1505.json	1	9061
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/FREEZE_1741/EVIDENCE.tsv	1	2926
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/FREEZE_1741/MANIFEST.sha256	1	137467
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/FREEZE_1741/RESTART.md	1	2293
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/FREEZE_1741/UNCHANGED.tsv	1	301
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/FREEZE_1741/WHITELIST.tsv	1	1477
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/FREEZE_1742	16	2069411
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/bench/bench_1306	2330	73871239
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/era_owners/corr_1501/build_a5_exp5_kit.py	1	28364
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/evidence	34	1031996
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/launch/a4_targeted_run_1491_launch	12	933672
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/launcher	23	132481
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/lock	31	2443247
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/logs	86	1776373
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/manifest	16	1655260
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/out	354	15716730
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/pkg/kfields_key_a4	12	443348
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/reconstruct	42	119899
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/runs/a4_final_targeted_run_1500	26	1020786
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/runs/a4_hard_review_run_1495	68	1751074
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/runs/a4_targeted_run_1491	28	81983
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/runs/a7_g1_run3	26	19772
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/runs/a7_od1_run	4	522
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/runs/a7_od1_run_v2	4	404
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/runs/a7_v3_prepared_run_1479	95	9747087
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/runs_rw	33	1296787
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/session_store/projects	3372	264030580
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/superseded	19	282267
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/tests	45	179189
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/tmpfiles/a7_budget_receipt_1488.json	1	5553
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/tmpfiles/a7_budget_receipt_1492.json	1	6322
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/tmpfiles/a7_budget_receipt_1493.json	1	6547
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/tmpfiles/a7_budget_receipt_1496.json	1	7180
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/tmpfiles/a7_key_v9_correction.json	1	35800
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/tmpfiles/a7_key_v9_gold.json	1	344107
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/tmpfiles/a7_source_locator_audit_1486.json	1	135422
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/views/a7_g1_event_run4	8	47682
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/views/a7_g2_candidate	1	25106
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/views/a7_g3_candidate	1	65280
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/history_1634/attempt2/A/run	866	10332440
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/pins_1636.json	1	1539
a4_recovery/regen_1570/targeted_1589/targeted_run_1491/out/attempt6/A/LAUNCHERS.tsv	1	2335
