accession_8k,ticker,filed_8k,period_of_report,fye_month,fy_xbrl,q_xbrl,fy_math,q_math,agreement,matched_accession_periodic,periodic_created,form_type_periodic,reason
0001766502-24-000018,CHWY,2024-05-29T07:04:00-04:00,2024-04-28,1,2024,Q1,2025,Q1,false,0001766502-24-000020,2024-05-29T07:29:03-04:00,10-Q,xbrl_math_disagree
0001766502-24-000046,CHWY,2024-08-28T07:03:19-04:00,2024-07-28,1,2024,Q2,2025,Q2,false,0001766502-24-000047,2024-08-28T07:29:54-04:00,10-Q,xbrl_math_disagree
0001766502-24-000052,CHWY,2024-12-04T07:04:45-05:00,2024-10-27,1,2024,Q3,2025,Q3,false,0001766502-24-000053,2024-12-04T07:32:10-05:00,10-Q,xbrl_math_disagree
0001766502-25-000013,CHWY,2025-03-26T07:04:15-04:00,2025-02-02,1,2024,Q4,2025,Q4,false,0001766502-25-000014,2025-03-26T07:29:13-04:00,10-K,xbrl_math_disagree
0001766502-25-000028,CHWY,2025-06-11T07:03:38-04:00,2025-05-04,1,2025,Q1,2026,Q1,false,0001766502-25-000029,2025-06-11T07:28:54-04:00,10-Q,xbrl_math_disagree
0001766502-25-000038,CHWY,2025-09-10T07:03:43-04:00,2025-08-03,1,2025,Q2,2026,Q2,false,0001766502-25-000039,2025-09-10T07:29:02-04:00,10-Q,xbrl_math_disagree
0001766502-25-000058,CHWY,2025-12-10T07:05:14-05:00,2025-11-02,1,2025,Q3,2026,Q3,false,0001766502-25-000059,2025-12-10T07:30:41-05:00,10-Q,xbrl_math_disagree
0001766502-26-000033,CHWY,2026-03-25T07:05:14-04:00,2026-02-01,1,2025,Q4,2026,Q4,false,0001766502-26-000034,2026-03-25T07:30:20-04:00,10-K,xbrl_math_disagree
0000950170-23-002334,CLSK,2023-02-09T16:08:31-05:00,2022-12-31,9,2022,Q1,2023,Q1,false,0000950170-23-002371,2023-02-09T16:36:27-05:00,10-Q,xbrl_math_disagree
0000950170-25-105347,CLSK,2025-08-07T19:46:10-04:00,,9,,,,,,,,,not_same_event_periodic
0001193125-26-039382,CLSK,2026-02-05T16:08:23-05:00,2025-12-31,9,2025,Q1,2026,Q1,false,0001193125-26-039538,2026-02-05T16:45:50-05:00,10-Q,xbrl_math_disagree
0001856525-23-000010,CNM,2023-03-28T07:28:21-04:00,2023-01-29,1,2022,Q4,2023,Q4,false,0001856525-23-000011,2023-03-28T07:30:27-04:00,10-K,xbrl_math_disagree
0001856525-23-000031,CNM,2023-06-06T07:18:32-04:00,2023-04-30,1,2023,Q1,2024,Q1,false,0001856525-23-000032,2023-06-06T07:20:55-04:00,10-Q,xbrl_math_disagree
0001856525-23-000041,CNM,2023-09-06T07:26:58-04:00,2023-07-30,1,2023,Q2,2024,Q2,false,0001856525-23-000043,2023-09-06T07:31:33-04:00,10-Q,xbrl_math_disagree
0001193125-23-270844,CNM,2023-11-06T07:07:58-05:00,2023-10-29,1,2023,Q3,2024,Q3,false,0001856525-23-000049,2023-12-05T07:30:40-05:00,10-Q,xbrl_math_disagree
0001856525-23-000048,CNM,2023-12-05T07:27:51-05:00,2023-10-29,1,2023,Q3,2024,Q3,false,0001856525-23-000049,2023-12-05T07:30:40-05:00,10-Q,xbrl_math_disagree
0001856525-24-000035,CNM,2024-03-19T07:27:11-04:00,2024-01-28,1,2023,Q4,2024,Q4,false,0001856525-24-000036,2024-03-19T07:35:42-04:00,10-K,xbrl_math_disagree
0001856525-24-000071,CNM,2024-06-04T07:27:46-04:00,2024-04-28,1,2024,Q1,2025,Q1,false,0001856525-24-000072,2024-06-04T07:31:23-04:00,10-Q,xbrl_math_disagree
0001856525-24-000110,CNM,2024-09-04T07:31:00-04:00,2024-07-28,1,2024,Q2,2025,Q2,false,0001856525-24-000111,2024-09-04T07:33:54-04:00,10-Q,xbrl_math_disagree
0001856525-24-000117,CNM,2024-12-03T07:30:58-05:00,2024-10-27,1,2024,Q3,2025,Q3,false,0001856525-24-000118,2024-12-03T07:33:26-05:00,10-Q,xbrl_math_disagree
0001856525-25-000080,CNM,2025-03-25T07:31:20-04:00,2025-02-02,1,2023,Q4,2025,Q4,false,0001856525-25-000081,2025-03-25T07:32:39-04:00,10-K,proximity_rejected
0001856525-25-000115,CNM,2025-06-10T07:30:28-04:00,2025-05-04,1,2025,Q1,2026,Q1,false,0001856525-25-000116,2025-06-10T07:33:34-04:00,10-Q,xbrl_math_disagree
0001856525-25-000172,CNM,2025-09-09T07:30:20-04:00,2025-08-03,1,2025,Q2,2026,Q2,false,0001856525-25-000173,2025-09-09T07:33:14-04:00,10-Q,xbrl_math_disagree
0001856525-25-000178,CNM,2025-12-09T06:30:11-05:00,2025-11-02,1,2025,Q3,2026,Q3,false,0001856525-25-000179,2025-12-09T06:33:27-05:00,10-Q,xbrl_math_disagree
0001856525-26-000030,CNM,2026-03-24T07:30:56-04:00,2026-02-01,1,2023,Q4,2026,Q4,false,0001856525-26-000031,2026-03-24T07:33:12-04:00,10-K,proximity_rejected
0001284812-24-000186,CNS,2024-04-17T16:23:22-04:00,2024-03-31,12,2023,Q1,2024,Q1,false,0001284812-24-000195,2024-05-03T09:09:47-04:00,10-Q,xbrl_math_disagree
0001284812-26-000035,CNS,2026-04-16T16:25:45-04:00,,12,,,,,,,,,not_same_event_periodic
0001108524-26-000056,CRM,2026-02-25T16:03:12-05:00,2026-01-31,1,2025,Q4,2026,Q4,false,0001108524-26-000060,2026-03-02T16:24:59-05:00,10-K,xbrl_math_disagree
0001535527-23-000006,CRWD,2023-03-07T16:06:44-05:00,2023-01-31,1,2022,Q4,2023,Q4,false,0001535527-23-000008,2023-03-08T19:41:08-05:00,10-K,xbrl_math_disagree
0001535527-24-000004,CRWD,2024-03-05T16:07:26-05:00,2024-01-31,1,2023,Q4,2024,Q4,false,0001535527-24-000007,2024-03-06T21:07:39-05:00,10-K,xbrl_math_disagree
0001535527-25-000005,CRWD,2025-03-04T16:11:41-05:00,2025-01-31,1,2024,Q4,2025,Q4,false,0001535527-25-000009,2025-03-10T08:44:44-04:00,10-K,xbrl_math_disagree
0001104659-25-045244,CRWD,2025-05-07T06:03:11-04:00,2025-04-30,1,2025,Q1,2026,Q1,false,0001535527-25-000019,2025-06-03T21:45:41-04:00,10-Q,xbrl_math_disagree
0001535527-25-000017,CRWD,2025-06-03T16:06:56-04:00,2025-04-30,1,2025,Q1,2026,Q1,false,0001535527-25-000019,2025-06-03T21:45:41-04:00,10-Q,xbrl_math_disagree
0001755672-26-000002,CTVA,2026-02-03T16:44:07-05:00,,12,,,,,,,,,not_same_event_periodic
0001104659-26-019118,CWH,2026-02-24T16:10:39-05:00,,12,,,,,,,,,not_same_event_periodic
0001104659-23-089376,CYRX,2023-08-09T17:28:46-04:00,,12,,,,,,,,,not_same_event_periodic
0000950142-24-002836,DAN,2024-11-25T17:18:28-05:00,,12,,,,,,,,,not_same_event_periodic
0000950142-25-001601,DAN,2025-06-11T17:11:10-04:00,,12,,,,,,,,,not_same_event_periodic
0001571996-23-000014,DELL,2023-06-01T16:10:44-04:00,2023-05-05,1,2024,Q4,2024,Q1,false,0001571996-23-000019,2023-06-12T16:43:52-04:00,10-Q,proximity_rejected
0001571996-23-000029,DELL,2023-08-31T16:13:56-04:00,2023-08-04,1,2024,Q4,2024,Q2,false,0001571996-23-000032,2023-09-12T16:27:00-04:00,10-Q,proximity_rejected
0001022079-25-000219,DGX,2025-10-21T06:50:12-04:00,,12,,,,,,,,,not_same_event_periodic
0000313616-23-000129,DHR,2023-04-24T18:11:08-04:00,,12,,,,,,,,,not_same_event_periodic
0000313616-23-000175,DHR,2023-05-11T16:41:29-04:00,,12,,,,,,,,,not_same_event_periodic
0000313616-23-000218,DHR,2023-07-24T17:59:04-04:00,,12,,,,,,,,,not_same_event_periodic
0000313616-23-000258,DHR,2023-10-23T17:47:57-04:00,,12,,,,,,,,,not_same_event_periodic
0000313616-24-000106,DHR,2024-04-22T18:00:43-04:00,,12,,,,,,,,,not_same_event_periodic
0000313616-24-000188,DHR,2024-07-22T17:47:44-04:00,,12,,,,,,,,,not_same_event_periodic
0000313616-24-000223,DHR,2024-10-21T17:47:57-04:00,,12,,,,,,,,,not_same_event_periodic
0000313616-25-000090,DHR,2025-04-22T06:08:20-04:00,,12,,,,,,,,,not_same_event_periodic
0000313616-26-000109,DHR,2026-04-20T17:44:45-04:00,,12,,,,,,,,,not_same_event_periodic
0001089063-23-000010,DKS,2023-03-07T07:00:21-05:00,2023-01-28,1,2022,Q4,2023,Q4,false,0001089063-23-000023,2023-03-23T13:37:51-04:00,10-K,xbrl_math_disagree
0001089063-23-000081,DKS,2023-05-23T07:00:20-04:00,2023-04-29,1,2023,Q1,2024,Q1,false,0001089063-23-000085,2023-05-24T15:56:41-04:00,10-Q,xbrl_math_disagree
0001089063-23-000122,DKS,2023-08-22T07:05:20-04:00,2023-07-29,1,2023,Q2,2024,Q2,false,0001089063-23-000126,2023-08-23T15:30:32-04:00,10-Q,xbrl_math_disagree
0001089063-23-000143,DKS,2023-11-21T07:02:22-05:00,2023-10-28,1,2023,Q3,2024,Q3,false,0001089063-23-000145,2023-11-22T14:51:39-05:00,10-Q,xbrl_math_disagree
0001089063-24-000011,DKS,2024-03-14T07:07:57-04:00,2024-02-03,1,2023,Q4,2024,Q4,false,0001089063-24-000037,2024-03-28T10:00:19-04:00,10-K,xbrl_math_disagree
0001089063-24-000066,DKS,2024-05-29T07:04:49-04:00,2024-05-04,1,2024,Q1,2025,Q1,false,0001089063-24-000070,2024-05-30T17:21:49-04:00,10-Q,xbrl_math_disagree
0001089063-24-000109,DKS,2024-09-04T07:02:37-04:00,2024-08-03,1,2024,Q2,2025,Q2,false,0001089063-24-000111,2024-09-04T07:06:16-04:00,10-Q,xbrl_math_disagree
0001089063-24-000118,DKS,2024-11-26T07:02:09-05:00,2024-11-02,1,2024,Q3,2025,Q3,false,0001089063-24-000121,2024-11-27T13:29:57-05:00,10-Q,xbrl_math_disagree
0001089063-25-000010,DKS,2025-03-11T07:02:03-04:00,2025-02-01,1,2024,Q4,2025,Q4,false,0001089063-25-000012,2025-03-27T16:05:50-04:00,10-K,xbrl_math_disagree
0001193125-25-120243,DKS,2025-05-15T06:32:57-04:00,2025-05-03,1,2025,Q1,2026,Q1,false,0001089063-25-000065,2025-06-09T17:03:11-04:00,10-Q,xbrl_math_disagree
0001089063-25-000057,DKS,2025-05-28T07:01:31-04:00,2025-05-03,1,2025,Q1,2026,Q1,false,0001089063-25-000065,2025-06-09T17:03:11-04:00,10-Q,xbrl_math_disagree
0001089063-25-000105,DKS,2025-08-28T07:02:12-04:00,2025-08-02,1,2025,Q2,2026,Q2,false,0001089063-25-000107,2025-08-28T16:59:35-04:00,10-Q,xbrl_math_disagree
0001089063-25-000112,DKS,2025-11-25T07:03:23-05:00,2025-11-01,1,2025,Q3,2026,Q3,false,0001089063-25-000114,2025-12-05T12:47:37-05:00,10-Q,xbrl_math_disagree
0001089063-26-000005,DKS,2026-03-12T07:03:46-04:00,2026-01-31,1,2025,Q4,2026,Q4,false,0001089063-26-000007,2026-03-27T17:22:05-04:00,10-K,xbrl_math_disagree
0001104659-26-010887,DLR,2026-02-05T16:08:07-05:00,,12,,,,,,,,,not_same_event_periodic
0001104659-26-047702,DLR,2026-04-23T16:11:27-04:00,,12,,,,,,,,,not_same_event_periodic
0000935703-23-000011,DLTR,2023-03-01T07:40:20-05:00,2023-01-28,1,2022,Q4,2023,Q4,false,0000935703-23-000016,2023-03-10T16:04:41-05:00,10-K,xbrl_math_disagree
0000935703-23-000030,DLTR,2023-05-25T07:31:45-04:00,2023-04-29,1,2023,Q1,2024,Q1,false,0000935703-23-000031,2023-05-25T09:18:06-04:00,10-Q,xbrl_math_disagree
0000935703-23-000048,DLTR,2023-08-24T06:30:36-04:00,2023-07-29,1,2023,Q2,2024,Q2,false,0000935703-23-000050,2023-08-24T09:15:25-04:00,10-Q,xbrl_math_disagree
0000935703-23-000062,DLTR,2023-11-29T06:30:36-05:00,2023-10-28,1,2023,Q3,2024,Q3,false,0000935703-23-000063,2023-11-29T09:04:21-05:00,10-Q,xbrl_math_disagree
0000935703-24-000007,DLTR,2024-03-13T06:31:26-04:00,2024-02-03,1,2023,Q4,2024,Q4,false,0000935703-24-000011,2024-03-20T16:30:22-04:00,10-K,xbrl_math_disagree
0000935703-24-000026,DLTR,2024-06-05T06:32:36-04:00,2024-05-04,1,2024,Q1,2025,Q1,false,0000935703-24-000029,2024-06-05T11:13:20-04:00,10-Q,xbrl_math_disagree
0000935703-24-000039,DLTR,2024-09-04T06:32:22-04:00,2024-08-03,1,2024,Q2,2025,Q2,false,0000935703-24-000041,2024-09-04T07:43:40-04:00,10-Q,xbrl_math_disagree
0000935703-24-000057,DLTR,2024-12-04T06:31:03-05:00,2024-11-02,1,2024,Q3,2025,Q3,false,0000935703-24-000059,2024-12-04T07:43:56-05:00,10-Q,xbrl_math_disagree
0000935703-25-000012,DLTR,2025-03-26T06:32:08-04:00,2025-02-01,1,2024,Q4,2025,Q4,false,0000935703-25-000015,2025-03-26T16:13:49-04:00,10-K,xbrl_math_disagree
0000935703-25-000024,DLTR,2025-06-04T06:31:30-04:00,2025-05-03,1,2025,Q1,2026,Q1,false,0000935703-25-000026,2025-06-04T08:01:44-04:00,10-Q,xbrl_math_disagree
0000935703-25-000060,DLTR,2025-09-03T06:32:16-04:00,2025-08-02,1,2025,Q2,2026,Q2,false,0000935703-25-000061,2025-09-03T06:34:53-04:00,10-Q,xbrl_math_disagree
0000935703-25-000104,DLTR,2025-12-03T06:30:30-05:00,2025-11-01,1,2025,Q3,2026,Q3,false,0000935703-25-000105,2025-12-03T06:31:51-05:00,10-Q,xbrl_math_disagree
0000935703-26-000024,DLTR,2026-03-16T06:30:32-04:00,2026-01-31,1,2025,Q4,2026,Q4,false,0000935703-26-000025,2026-03-16T06:33:12-04:00,10-K,xbrl_math_disagree
0001628280-23-036445,DTE,2023-11-02T16:46:39-04:00,,12,,,,,,,,,not_same_event_periodic
0000936340-24-000090,DTE,2024-03-01T16:20:34-05:00,,12,,,,,,,,,not_same_event_periodic
0000936340-24-000119,DTE,2024-05-02T16:17:26-04:00,,12,,,,,,,,,not_same_event_periodic
0000936340-24-000180,DTE,2024-08-01T16:16:09-04:00,,12,,,,,,,,,not_same_event_periodic
0000936340-24-000201,DTE,2024-10-31T16:18:46-04:00,,12,,,,,,,,,not_same_event_periodic
0000936340-25-000076,DTE,2025-02-28T16:15:58-05:00,,12,,,,,,,,,not_same_event_periodic
0000936340-25-000099,DTE,2025-05-02T16:17:29-04:00,,12,,,,,,,,,not_same_event_periodic
0000936340-25-000184,DTE,2025-07-31T16:20:38-04:00,,12,,,,,,,,,not_same_event_periodic
0000936340-25-000229,DTE,2025-10-31T16:19:09-04:00,,12,,,,,,,,,not_same_event_periodic
0000936340-26-000058,DTE,2026-02-27T16:17:30-05:00,,12,,,,,,,,,not_same_event_periodic
0001558370-23-009128,DV,2023-05-10T16:28:21-04:00,,12,,,,,,,,,not_same_event_periodic
0001558370-23-015727,DV,2023-09-14T07:48:45-04:00,,12,,,,,,,,,not_same_event_periodic
0001558370-24-002014,DV,2024-02-28T16:24:57-05:00,,12,,,,,,,,,not_same_event_periodic
0001558370-25-008526,DV,2025-06-11T08:38:13-04:00,,12,,,,,,,,,not_same_event_periodic
0001104659-26-020508,DV,2026-02-26T16:16:13-05:00,,12,,,,,,,,,not_same_event_periodic
0001558370-24-003421,ECL,2024-03-15T16:33:13-04:00,,12,,,,,,,,,not_same_event_periodic
0001558370-25-004009,ECL,2025-03-28T16:30:21-04:00,,12,,,,,,,,,not_same_event_periodic
0001104659-26-032446,ECL,2026-03-20T08:05:25-04:00,,12,,,,,,,,,not_same_event_periodic
0001104659-26-035705,ECL,2026-03-27T08:02:28-04:00,,12,,,,,,,,,not_same_event_periodic
0001047862-23-000042,ED,2023-02-16T16:57:08-05:00,,12,,,,,,,,,not_same_event_periodic
0001047862-23-000142,ED,2023-08-03T16:46:18-04:00,,12,,,,,,,,,not_same_event_periodic
0001047862-23-000163,ED,2023-11-02T16:23:38-04:00,,12,,,,,,,,,not_same_event_periodic
0001047862-24-000013,ED,2024-02-15T16:56:59-05:00,,12,,,,,,,,,not_same_event_periodic
0001047862-24-000032,ED,2024-05-02T16:44:03-04:00,,12,,,,,,,,,not_same_event_periodic
0001047862-24-000067,ED,2024-11-07T16:45:35-05:00,,12,,,,,,,,,not_same_event_periodic
0001047862-25-000014,ED,2025-02-20T16:50:24-05:00,,12,,,,,,,,,not_same_event_periodic
0001047862-25-000071,ED,2025-08-07T16:45:15-04:00,,12,,,,,,,,,not_same_event_periodic
0001047862-25-000139,ED,2025-11-06T16:43:14-05:00,,12,,,,,,,,,not_same_event_periodic
0000032604-25-000094,EMR,2025-11-20T06:55:36-05:00,,9,,,,,,,,,not_same_event_periodic
0001463101-26-000037,ENPH,2026-04-06T16:01:51-04:00,,12,,,,,,,,,not_same_event_periodic
0000950170-25-017035,ENTA,2025-02-10T16:05:08-05:00,2024-12-31,9,2024,Q1,2025,Q1,false,0000950170-25-018810,2025-02-12T16:00:20-05:00,10-Q,xbrl_math_disagree
0000821189-26-000078,EOG,2026-04-09T16:31:14-04:00,,12,,,,,,,,,not_same_event_periodic
0001096752-23-000014,EPC,2023-05-09T07:29:30-04:00,2023-03-31,9,2023,Q1,2023,Q2,false,0001096752-23-000018,2023-05-09T09:17:38-04:00,10-Q,xbrl_math_disagree
0001707753-24-000034,ESTC,2024-08-29T16:10:28-04:00,2024-07-31,4,2025,Q4,2025,Q1,false,0001707753-24-000038,2024-08-30T16:17:06-04:00,10-Q,proximity_rejected
0001099800-26-000021,EW,2026-04-23T16:20:22-04:00,,12,,,,,,,,,not_same_event_periodic
0001124140-23-000004,EXAS,2023-01-09T07:17:31-05:00,2022-12-31,12,2021,Q4,2022,Q4,false,0001124140-23-000014,2023-02-21T17:04:22-05:00,10-K,xbrl_math_disagree
0001124140-23-000012,EXAS,2023-02-21T16:10:09-05:00,2022-12-31,12,2021,Q4,2022,Q4,false,0001124140-23-000014,2023-02-21T17:04:22-05:00,10-K,xbrl_math_disagree
0001124140-23-000078,EXAS,2023-08-01T16:08:12-04:00,2023-06-30,12,2023,Q1,2023,Q2,false,0001124140-23-000082,2023-08-01T17:11:09-04:00,10-Q,xbrl_math_disagree
0001124140-23-000088,EXAS,2023-11-01T16:09:08-04:00,2023-09-30,12,2023,Q1,2023,Q3,false,0001124140-23-000090,2023-11-01T17:07:10-04:00,10-Q,proximity_rejected
0001539838-26-000070,FANG,2026-04-13T16:40:48-04:00,,12,,,,,,,,,not_same_event_periodic
0000831259-25-000002,FCX,2025-01-23T08:08:48-05:00,2024-12-31,12,2023,Q4,2024,Q4,false,0000831259-25-000006,2025-02-14T17:00:48-05:00,10-K,xbrl_math_disagree
0000831259-25-000011,FCX,2025-03-31T17:04:05-04:00,,12,,,,,,,,,not_same_event_periodic
0000831259-26-000021,FCX,2026-04-23T08:09:07-04:00,,12,,,,,,,,,not_same_event_periodic
0000950170-24-034726,FDX,2024-03-21T16:20:14-04:00,,5,,,,,,,,,not_same_event_periodic
0001177609-23-000006,FIVE,2023-03-15T16:26:06-04:00,2023-01-28,1,2022,Q4,2023,Q4,false,0001177609-23-000009,2023-03-16T17:24:42-04:00,10-K,xbrl_math_disagree
0001177609-23-000012,FIVE,2023-06-01T16:19:27-04:00,2023-04-29,1,2023,Q1,2024,Q1,false,0001177609-23-000015,2023-06-02T14:31:44-04:00,10-Q,xbrl_math_disagree
0001177609-23-000020,FIVE,2023-08-30T16:06:46-04:00,2023-07-29,1,2023,Q2,2024,Q2,false,0001177609-23-000022,2023-08-31T15:30:09-04:00,10-Q,xbrl_math_disagree
0001177609-23-000025,FIVE,2023-11-29T16:24:10-05:00,2023-10-28,1,2023,Q3,2024,Q3,false,0001177609-23-000028,2023-11-30T16:22:40-05:00,10-Q,xbrl_math_disagree
0001177609-24-000005,FIVE,2024-03-20T16:18:45-04:00,2024-02-03,1,2023,Q4,2024,Q4,false,0001177609-24-000008,2024-03-21T14:39:30-04:00,10-K,xbrl_math_disagree
0001177609-24-000011,FIVE,2024-06-05T16:15:49-04:00,2024-05-04,1,2024,Q1,2025,Q1,false,0001177609-24-000016,2024-06-06T16:42:15-04:00,10-Q,xbrl_math_disagree
0001177609-24-000020,FIVE,2024-08-28T16:23:40-04:00,2024-08-03,1,2024,Q2,2025,Q2,false,0001177609-24-000026,2024-08-29T15:36:53-04:00,10-Q,xbrl_math_disagree
0001177609-24-000029,FIVE,2024-12-04T16:22:44-05:00,2024-11-02,1,2024,Q3,2025,Q3,false,0001177609-24-000033,2024-12-05T16:00:09-05:00,10-Q,xbrl_math_disagree
0001177609-25-000006,FIVE,2025-03-19T16:28:27-04:00,2025-02-01,1,2024,Q4,2025,Q4,false,0001177609-25-000009,2025-03-20T16:02:06-04:00,10-K,xbrl_math_disagree
0001177609-25-000019,FIVE,2025-06-04T16:23:39-04:00,2025-05-03,1,2025,Q1,2026,Q1,false,0001177609-25-000025,2025-06-05T17:31:15-04:00,10-Q,xbrl_math_disagree
0001177609-25-000037,FIVE,2025-08-27T16:14:48-04:00,2025-08-02,1,2025,Q2,2026,Q2,false,0001177609-25-000041,2025-08-28T15:37:34-04:00,10-Q,xbrl_math_disagree
0001177609-25-000048,FIVE,2025-12-03T16:18:26-05:00,2025-11-01,1,2025,Q3,2026,Q3,false,0001177609-25-000052,2025-12-04T14:49:03-05:00,10-Q,xbrl_math_disagree
0001177609-26-000006,FIVE,2026-03-18T16:20:24-04:00,2026-01-31,1,2025,Q4,2026,Q4,false,0001177609-26-000010,2026-03-19T16:29:57-04:00,10-K,xbrl_math_disagree
0001628280-23-027397,FLR,2023-08-04T07:03:52-04:00,,12,,,,,,,,,not_same_event_periodic
0001628280-23-036550,FLR,2023-11-03T07:01:52-04:00,,12,,,,,,,,,not_same_event_periodic
0001628280-24-020122,FLR,2024-05-03T07:00:51-04:00,,12,,,,,,,,,not_same_event_periodic
0001628280-24-034274,FLR,2024-08-02T07:02:40-04:00,,12,,,,,,,,,not_same_event_periodic
0001628280-24-046499,FLR,2024-11-08T07:06:26-05:00,,12,,,,,,,,,not_same_event_periodic
0001124198-25-000009,FLR,2025-05-02T07:03:15-04:00,,12,,,,,,,,,not_same_event_periodic
0001124198-25-000029,FLR,2025-08-01T07:03:37-04:00,,12,,,,,,,,,not_same_event_periodic
0001124198-25-000076,FLR,2025-11-07T07:03:42-05:00,,12,,,,,,,,,not_same_event_periodic
0001157523-23-000246,FLS,2023-02-10T07:03:42-05:00,2022-12-31,12,2021,Q4,2022,Q4,false,0000030625-23-000077,2023-03-07T16:02:25-05:00,10-K,xbrl_math_disagree
0001157523-23-000318,FLS,2023-02-21T16:06:30-05:00,2022-12-31,12,2021,Q4,2022,Q4,false,0000030625-23-000077,2023-03-07T16:02:25-05:00,10-K,xbrl_math_disagree
0001157523-23-000656,FLS,2023-05-01T16:05:43-04:00,,12,,,,,,,,,not_same_event_periodic
0001157523-23-001207,FLS,2023-08-01T16:05:44-04:00,,12,,,,,,,,,not_same_event_periodic
0001157523-23-001546,FLS,2023-10-25T16:12:00-04:00,,12,,,,,,,,,not_same_event_periodic
0001193125-24-122190,FLS,2024-04-29T16:02:01-04:00,,12,,,,,,,,,not_same_event_periodic
0001193125-24-187742,FLS,2024-07-29T17:16:02-04:00,,12,,,,,,,,,not_same_event_periodic
0001193125-24-245539,FLS,2024-10-28T16:21:30-04:00,,12,,,,,,,,,not_same_event_periodic
0001193125-25-103899,FLS,2025-04-29T16:30:32-04:00,,12,,,,,,,,,not_same_event_periodic
0001193125-25-253483,FLS,2025-10-28T16:06:29-04:00,,12,,,,,,,,,not_same_event_periodic
0001544522-24-000035,FRSH,2024-05-01T16:14:24-04:00,,12,,,,,,,,,not_same_event_periodic
0000034903-26-000016,FRT,2026-02-12T16:07:58-05:00,2025-12-31,12,2024,Q4,2025,Q4,false,0000034903-26-000017,2026-02-12T16:12:08-05:00,10-K,xbrl_math_disagree
0001659166-25-000093,FTV,2025-06-09T18:01:06-04:00,,12,,,,,,,,,not_same_event_periodic
0001193125-26-007731,GBX,2026-01-08T16:20:09-05:00,2025-11-30,8,2025,Q1,2026,Q1,false,0001193125-26-007768,2026-01-08T16:30:50-05:00,10-Q,xbrl_math_disagree
0000040545-23-000240,GE,2023-10-24T06:06:30-04:00,,12,,,,,,,,,not_same_event_periodic
0001558370-23-003966,GIII,2023-03-16T07:36:05-04:00,2023-01-31,1,2022,Q4,2023,Q4,false,0001558370-23-004739,2023-03-27T17:15:10-04:00,10-K,xbrl_math_disagree
0001558370-23-010823,GIII,2023-06-06T07:30:14-04:00,2023-04-30,1,2023,Q1,2024,Q1,false,0001558370-23-010832,2023-06-06T16:05:49-04:00,10-Q,xbrl_math_disagree
0001558370-23-015527,GIII,2023-09-07T07:30:18-04:00,2023-07-31,1,2023,Q2,2024,Q2,false,0001558370-23-015551,2023-09-07T16:11:56-04:00,10-Q,xbrl_math_disagree
0001558370-23-019455,GIII,2023-12-05T07:30:56-05:00,2023-10-31,1,2023,Q3,2024,Q3,false,0001558370-23-019515,2023-12-06T16:15:52-05:00,10-Q,xbrl_math_disagree
0001558370-24-003166,GIII,2024-03-14T07:31:30-04:00,2024-01-31,1,2023,Q4,2024,Q4,false,0001558370-24-003856,2024-03-25T17:17:30-04:00,10-K,xbrl_math_disagree
0001558370-24-008936,GIII,2024-06-06T07:30:24-04:00,2024-04-30,1,2024,Q1,2025,Q1,false,0001558370-24-008959,2024-06-06T16:26:46-04:00,10-Q,xbrl_math_disagree
0001558370-24-012596,GIII,2024-09-05T07:30:28-04:00,2024-07-31,1,2024,Q2,2025,Q2,false,0001558370-24-012652,2024-09-06T16:05:40-04:00,10-Q,xbrl_math_disagree
0001558370-24-016107,GIII,2024-12-10T07:30:43-05:00,2024-10-31,1,2024,Q3,2025,Q3,false,0001558370-24-016123,2024-12-10T16:50:02-05:00,10-Q,xbrl_math_disagree
0001558370-25-002854,GIII,2025-03-13T07:30:12-04:00,2025-01-31,1,2024,Q4,2025,Q4,false,0001558370-25-003540,2025-03-24T16:32:02-04:00,10-K,xbrl_math_disagree
0001558370-25-008460,GIII,2025-06-06T07:34:32-04:00,2025-04-30,1,2025,Q1,2026,Q1,false,0001558370-25-008488,2025-06-06T16:45:44-04:00,10-Q,xbrl_math_disagree
0001558370-25-011862,GIII,2025-09-04T07:30:37-04:00,2025-07-31,1,2025,Q2,2026,Q2,false,0001558370-25-011900,2025-09-05T16:05:31-04:00,10-Q,xbrl_math_disagree
0001104659-25-119484,GIII,2025-12-09T07:30:32-05:00,2025-10-31,1,2025,Q3,2026,Q3,false,0001104659-25-119655,2025-12-09T16:06:04-05:00,10-Q,xbrl_math_disagree
0001104659-26-026716,GIII,2026-03-12T07:30:38-04:00,2026-01-31,1,2025,Q4,2026,Q4,false,0001104659-26-033891,2026-03-24T16:27:21-04:00,10-K,xbrl_math_disagree
0001326380-23-000011,GME,2023-03-21T16:10:10-04:00,2023-01-28,1,2022,Q4,2023,Q4,false,0001326380-23-000019,2023-03-28T17:26:10-04:00,10-K,xbrl_math_disagree
0001193125-23-162572,GME,2023-06-07T16:30:55-04:00,2023-04-29,1,2023,Q1,2024,Q1,false,0001326380-23-000028,2023-06-07T16:46:25-04:00,10-Q,xbrl_math_disagree
0001326380-23-000045,GME,2023-09-06T16:13:08-04:00,2023-07-29,1,2023,Q2,2024,Q2,false,0001326380-23-000047,2023-09-06T16:28:47-04:00,10-Q,xbrl_math_disagree
