ticker,accession,formType,filedAt,in_neo4j,in_edgar
A,0001193125-26-117614,8-K,2026-03-20,YES,YES
A,0001193125-26-096487,8-K,2026-03-06,YES,YES
A,0001090872-26-000015,8-K,2026-02-25,YES,YES
A,0001090872-25-000070,8-K,2025-11-24,YES,YES
A,0001193125-25-251622,8-K,2025-10-27,YES,YES
A,0001090872-25-000034,8-K,2025-08-27,YES,YES
A,0001090872-25-000028,8-K/A,2025-08-08,YES,YES
A,0001193125-25-159100,8-K,2025-07-15,YES,YES
A,0001090872-25-000013,8-K,2025-05-28,YES,YES
A,0000950170-25-075587,8-K,2025-05-21,YES,YES
A,0001193125-25-111596,8-K,2025-05-02,YES,YES
A,0000950170-25-049516,8-K,2025-04-02,YES,YES
A,0000950170-25-040344,8-K,2025-03-17,YES,YES
A,0001090872-25-000010,8-K,2025-03-03,YES,YES
A,0001090872-25-000003,8-K,2025-02-26,YES,YES
A,0001090872-24-000045,8-K,2024-12-13,YES,YES
A,0001090872-24-000042,8-K,2024-11-25,YES,YES
A,0000950170-24-130441,8-K,2024-11-25,YES,YES
A,0001193125-24-215906,8-K,2024-09-09,YES,YES
A,0001193125-24-214337,8-K,2024-09-05,YES,YES
A,0001090872-24-000036,8-K,2024-09-03,YES,YES
A,0001090872-24-000024,8-K,2024-08-21,YES,YES
A,0001090872-24-000017,8-K,2024-05-29,YES,YES
A,0001193125-24-146578,8-K/A,2024-05-24,YES,YES
A,0000950170-24-064091,8-K,2024-05-23,YES,YES
A,0000950123-24-003692,8-K,2024-05-01,YES,YES
A,0000950170-24-032163,8-K,2024-03-15,YES,YES
A,0001090872-24-000006,8-K,2024-02-27,YES,YES
A,0000950170-24-017940,8-K,2024-02-21,YES,YES
A,0001090872-24-000003,8-K,2024-01-05,YES,YES
A,0000950170-23-071756,8-K,2023-12-20,YES,YES
A,0001090872-23-000018,8-K,2023-11-20,YES,YES
A,0000950170-23-057148,8-K,2023-11-01,YES,YES
