ticker,accession,formType,filedAt,in_secapi,in_edgar,in_neo4j,gap_type
AAPL,0000320193-24-000006,10-Q,2024-02-02,NO,YES,NO,SOURCE_GAP
AAPL,0000320193-24-000123,10-K,2024-11-01,NO,YES,NO,SOURCE_GAP
AAPL,0000320193-25-000008,10-Q,2025-01-31,NO,YES,NO,SOURCE_GAP
AAPL,0001140361-24-038601,8-K,2024-08-26,NO,YES,NO,SOURCE_GAP
AAPL,0000320193-23-000104,8-K,2023-11-02,NO,YES,NO,SOURCE_GAP
AAPL,0000320193-23-000064,10-Q,2023-05-05,NO,YES,NO,SOURCE_GAP
AAPL,0000320193-24-000067,8-K,2024-05-02,NO,YES,NO,SOURCE_GAP
AAPL,0000320193-24-000069,10-Q,2024-05-03,NO,YES,NO,SOURCE_GAP
AAPL,0000320193-23-000077,10-Q,2023-08-04,NO,YES,NO,SOURCE_GAP
AAPL,0000320193-23-000006,10-Q,2023-02-03,NO,YES,NO,SOURCE_GAP
AAPL,0000320193-23-000063,8-K,2023-05-04,NO,YES,NO,SOURCE_GAP
AAPL,0001140361-24-024352,8-K,2024-05-03,NO,YES,NO,SOURCE_GAP
AAPL,0000320193-25-000007,8-K,2025-01-30,NO,YES,NO,SOURCE_GAP
AAPL,0001140361-25-027340,8-K,2025-07-25,NO,YES,NO,SOURCE_GAP
AAPL,0000320193-25-000079,10-K,2025-10-31,NO,YES,NO,SOURCE_GAP
AAPL,0000320193-23-000106,10-K,2023-11-03,NO,YES,NO,SOURCE_GAP
AAPL,0000320193-24-000081,10-Q,2024-08-02,NO,YES,NO,SOURCE_GAP
AAPL,0000320193-26-000006,10-Q,2026-01-30,NO,YES,NO,SOURCE_GAP
AAPL,0001140361-24-038403,8-K,2024-08-23,NO,YES,NO,SOURCE_GAP
AAPL,0001140361-25-025275,8-K,2025-07-09,NO,YES,NO,SOURCE_GAP
AAPL,0001140361-25-018400,8-K,2025-05-12,NO,YES,NO,SOURCE_GAP
AAPL,0001140361-25-044561,8-K,2025-12-05,NO,YES,NO,SOURCE_GAP
AAPL,0001140361-26-000199,8-K,2026-01-02,NO,YES,NO,SOURCE_GAP
AAPL,0001140361-23-011192,8-K,2023-03-10,NO,YES,NO,SOURCE_GAP
AAPL,0000320193-25-000077,8-K,2025-10-30,NO,YES,NO,SOURCE_GAP
AAPL,0001140361-23-023909,8-K,2023-05-10,NO,YES,NO,SOURCE_GAP
AAPL,0001140361-24-040659,8-K,2024-09-10,NO,YES,NO,SOURCE_GAP
AAPL,0000320193-24-000080,8-K,2024-08-01,NO,YES,NO,SOURCE_GAP
AAPL,0000320193-25-000071,8-K,2025-07-31,NO,YES,NO,SOURCE_GAP
AAPL,0001140361-26-006577,8-K,2026-02-24,NO,YES,NO,SOURCE_GAP
AAPL,0000320193-25-000057,10-Q,2025-05-02,NO,YES,NO,SOURCE_GAP
AAPL,0000320193-23-000005,8-K,2023-02-02,NO,YES,NO,SOURCE_GAP
AAPL,0000320193-26-000005,8-K,2026-01-29,NO,YES,NO,SOURCE_GAP
AAPL,0000320193-24-000120,8-K,2024-10-31,NO,YES,NO,SOURCE_GAP
AAPL,0000320193-24-000005,8-K,2024-02-01,NO,YES,NO,SOURCE_GAP
AAPL,0000320193-23-000075,8-K,2023-08-03,NO,YES,NO,SOURCE_GAP
AAPL,0001140361-24-010155,8-K,2024-02-28,NO,YES,NO,SOURCE_GAP
AAPL,0001140361-25-000228,8-K,2025-01-03,NO,YES,NO,SOURCE_GAP
AAPL,0000320193-25-000073,10-Q,2025-08-01,NO,YES,NO,SOURCE_GAP
AAPL,0000320193-25-000055,8-K,2025-05-01,NO,YES,NO,SOURCE_GAP
AAPL,0001140361-25-005876,8-K,2025-02-25,NO,YES,NO,SOURCE_GAP
