ticker,accession,formType,filedAt,in_secapi,in_edgar,in_neo4j,gap_type
AAP,0001158449-24-000236,8-K,2024-11-14,YES,YES,NO,PIPELINE_LOST
AAP,0001193125-24-257954,8-K,2024-11-14,YES,YES,NO,PIPELINE_LOST
AAP,0001193125-26-051305,10-K,2026-02-13,YES,YES,NO,PIPELINE_LOST
AAP,0001193125-24-049060,NT 10-K,2024-02-28,YES,NO,NO,PIPELINE_LOST
AAP,0001158449-24-000238,10-Q,2024-11-14,YES,YES,NO,PIPELINE_LOST
AAP,0001193125-23-279408,NT 10-Q,2023-11-17,YES,NO,NO,PIPELINE_LOST
AAP,0001193125-23-159173,NT 10-Q,2023-06-01,YES,NO,NO,PIPELINE_LOST
ABBV,0001551152-24-000031,10-Q,2024-08-07,YES,YES,NO,PIPELINE_LOST
ABM,0000771497-26-000001,10-Q,2026-03-10,YES,YES,NO,PIPELINE_LOST
ABNB,0001193125-26-108514,8-K,2026-03-16,YES,YES,NO,PIPELINE_LOST
ABNB,0001193125-24-194849,8-K,2024-08-06,YES,YES,NO,PIPELINE_LOST
ABNB,0001559720-24-000024,10-Q,2024-08-06,YES,YES,NO,PIPELINE_LOST
ABT,0001628280-26-002982,8-K,2026-01-22,YES,YES,NO,PIPELINE_LOST
ABT,0001104659-24-119717,8-K,2024-11-15,YES,YES,NO,PIPELINE_LOST
ABT,0001628280-26-010185,10-K,2026-02-20,YES,YES,NO,PIPELINE_LOST
ACAD,0001193125-26-092213,8-K,2026-03-04,YES,YES,NO,PIPELINE_LOST
ACAD,0001193125-26-071674,8-K,2026-02-25,YES,YES,NO,PIPELINE_LOST
ACAD,0001193125-26-011706,8-K,2026-01-13,YES,YES,NO,PIPELINE_LOST
ACAD,0001193125-25-266959,8-K,2025-11-05,YES,YES,NO,PIPELINE_LOST
ACAD,0001193125-25-262610,8-K,2025-11-03,YES,YES,NO,PIPELINE_LOST
ACAD,0000950170-24-091826,8-K,2024-08-06,YES,YES,NO,PIPELINE_LOST
ACAD,0001193125-26-072519,10-K,2026-02-25,YES,YES,NO,PIPELINE_LOST
ACAD,0001193125-25-267453,10-Q,2025-11-05,YES,YES,NO,PIPELINE_LOST
ACAD,0000950170-24-092163,10-Q,2024-08-06,YES,YES,NO,PIPELINE_LOST
ACCD,0001481646-24-000042,8-K,2024-08-07,YES,YES,NO,PIPELINE_LOST
ACHC,0001193125-26-104272,8-K,2026-03-12,YES,YES,NO,PIPELINE_LOST
ACHC,0001437749-26-005431,8-K,2026-02-25,YES,YES,NO,PIPELINE_LOST
ACHC,0001193125-26-020169,8-K,2026-01-23,YES,YES,NO,PIPELINE_LOST
ACHC,0001437749-26-001486,8-K,2026-01-20,YES,YES,NO,PIPELINE_LOST
ACHC,0001437749-26-001137,8-K,2026-01-13,YES,YES,NO,PIPELINE_LOST
ACHC,0001437749-25-033347,8-K,2025-11-05,YES,YES,NO,PIPELINE_LOST
ACHC,0001193125-25-267062,10-Q,2025-11-05,YES,YES,NO,PIPELINE_LOST
ACI,0001646972-26-000023,8-K,2026-02-27,YES,YES,NO,PIPELINE_LOST
ACI,0001646972-26-000019,8-K,2026-02-02,YES,YES,NO,PIPELINE_LOST
ACI,0001646972-26-000015,8-K,2026-01-22,YES,YES,NO,PIPELINE_LOST
ACI,0001646972-26-000007,8-K,2026-01-07,YES,YES,NO,PIPELINE_LOST
ACI,0001646972-26-000010,10-Q,2026-01-07,YES,YES,NO,PIPELINE_LOST
ACM,0001104659-26-024108,8-K,2026-03-05,YES,YES,NO,PIPELINE_LOST
ACM,0001104659-26-012069,8-K,2026-02-09,YES,YES,NO,PIPELINE_LOST
ACM,0001104659-24-120136,8-K,2024-11-18,YES,YES,NO,PIPELINE_LOST
ACM,0001104659-24-085822,8-K,2024-08-05,YES,YES,NO,PIPELINE_LOST
