ticker,accession,formType,filedAt,in_neo4j,in_edgar
AA,0001193125-26-159018,8-K,2026-04-16,YES,NO
AA,0001193125-26-154986,8-K,2026-04-14,YES,NO
ABT,0001104659-26-044892,8-K,2026-04-17,YES,NO
ABT,0001628280-26-025365,8-K,2026-04-16,YES,NO
ACI,0001646972-26-000028,8-K,2026-04-14,YES,NO
ACMR,0001628280-26-025599,8-K,2026-04-17,YES,NO
AES,0000874761-26-000075,8-K,2026-04-16,YES,NO
AGNC,0001423689-26-000083,8-K,2026-04-17,YES,NO
AHCO,0001628280-26-024835,8-K,2026-04-13,YES,NO
ALB,0000915913-26-000064,8-K,2026-04-17,YES,NO
ALGT,0001140361-26-014834,8-K,2026-04-15,YES,NO
ALL,0000899051-26-000067,8-K,2026-04-16,YES,NO
ALLE,0001579241-26-000010,8-K,2026-04-15,YES,NO
ALT,0001326190-26-000027,8-K,2026-04-16,YES,NO
ALV,0001193125-26-160203,8-K,2026-04-17,YES,NO
ALV,0001193125-26-160472,10-Q,2026-04-17,YES,NO
AMC,0001104659-26-044930,8-K,2026-04-17,YES,NO
AMZN,0001104659-26-042880,8-K,2026-04-14,YES,NO
APA,0001841666-26-000021,8-K,2026-04-14,YES,NO
AR,0001104659-26-044934,8-K/A,2026-04-17,YES,NO
AR,0001104659-26-044934,8-K/A,2026-04-17,YES,NO
AVAV,0001104659-26-042388,8-K,2026-04-13,YES,NO
BA,0001628280-26-025684,8-K,2026-04-17,YES,NO
BE,0001628280-26-024896,8-K,2026-04-13,YES,NO
BK,0001193125-26-161599,8-K/A,2026-04-17,YES,NO
BK,0001390777-26-000042,8-K,2026-04-16,YES,NO
BK,0001193125-26-161599,8-K/A,2026-04-17,YES,NO
BLD,0001104659-26-044899,8-K,2026-04-17,YES,NO
BLK,0001193125-26-153768,8-K,2026-04-14,YES,NO
CAG,0000023217-26-000013,8-K,2026-04-13,YES,NO
CAT,0001104659-26-042621,8-K,2026-04-13,YES,NO
CDNA,0001104659-26-043970,8-K,2026-04-16,YES,NO
CE,0001306830-26-000070,8-K,2026-04-17,YES,NO
CHGG,0001364954-26-000030,8-K,2026-04-15,YES,NO
CMC,0001193125-26-152960,8-K,2026-04-13,YES,NO
CNS,0001284812-26-000035,8-K,2026-04-16,YES,NO
COST,0000909832-26-000041,8-K,2026-04-15,YES,NO
CTVA,0001193125-26-153947,8-K,2026-04-14,YES,NO
DHR,0001193125-26-160383,8-K,2026-04-17,YES,NO
DOCS,0001516513-26-000014,8-K,2026-04-17,YES,NO
DOMO,0001628280-26-025356,10-K,2026-04-15,YES,NO
DOW,0001193125-26-153769,8-K,2026-04-14,YES,NO
ECL,0001104659-26-043821,8-K,2026-04-15,YES,NO
