ticker,accession,formType,filedAt,in_neo4j,in_edgar
AAL,0001193125-25-326955,SCHEDULE 13D,2025-12-19,YES,NO
ACAD,0001104659-26-020778,SCHEDULE 13D/A,2026-02-26,YES,NO
ACAD,0001104659-26-020778,SCHEDULE 13D/A,2026-02-26,YES,NO
ACCD,0001104659-25-033599,SCHEDULE 13D/A,2025-04-10,YES,NO
ACCD,0001104659-25-004787,SCHEDULE 13D,2025-01-21,YES,NO
ACCD,0001104659-25-033599,SCHEDULE 13D/A,2025-04-10,YES,NO
ACHC,0001539497-26-000135,SCHEDULE 13D/A,2026-01-23,YES,NO
ACHC,0001539497-25-003053,SCHEDULE 13D/A,2025-11-24,YES,NO
ACHC,0001539497-25-002580,SCHEDULE 13D,2025-10-01,YES,NO
ACHC,0001539497-26-000135,SCHEDULE 13D/A,2026-01-23,YES,NO
ACHC,0001539497-25-003053,SCHEDULE 13D/A,2025-11-24,YES,NO
ADBE,0001140361-23-001383,425,2023-01-11,YES,NO
AHCO,0001193125-26-104757,SCHEDULE 13D/A,2026-03-12,YES,NO
AHCO,0001193125-26-104757,SCHEDULE 13D/A,2026-03-12,YES,NO
ALGT,0001362468-26-000011,SCHEDULE 13D/A,2026-03-10,YES,NO
ALGT,0001235126-25-000003,SCHEDULE 13D/A,2025-02-20,YES,NO
ALGT,0001362468-26-000011,SCHEDULE 13D/A,2026-03-10,YES,NO
ALGT,0001235126-25-000003,SCHEDULE 13D/A,2025-02-20,YES,NO
ALGT,0001140361-26-012765,425,2026-04-01,YES,NO
ALGT,0001140361-26-009635,425,2026-03-16,YES,NO
ALGT,0001140361-26-009632,425,2026-03-16,YES,NO
ALGT,0001140361-26-009512,425,2026-03-16,YES,NO
ALGT,0001140361-26-006422,425,2026-02-23,YES,NO
ALGT,0001140361-26-005806,425,2026-02-17,YES,NO
ALGT,0001140361-26-003900,425,2026-02-05,YES,NO
ALGT,0001140361-26-002429,425,2026-01-26,YES,NO
ALGT,0001140361-26-002428,425,2026-01-26,YES,NO
ALGT,0001140361-26-001029,425,2026-01-12,YES,NO
ALGT,0001140361-26-001028,425,2026-01-12,YES,NO
ALGT,0001140361-26-001026,425,2026-01-12,YES,NO
ALGT,0001140361-26-001023,425,2026-01-12,YES,NO
ALGT,0001140361-26-000908,425,2026-01-12,YES,NO
ALV,0000902664-25-001430,SCHEDULE 13D/A,2025-03-12,YES,NO
ALV,0000902664-25-001430,SCHEDULE 13D/A,2025-03-12,YES,NO
AMC,0001104659-25-118936,SCHEDULE 13D/A,2025-12-05,YES,NO
AMC,0001104659-25-108577,SCHEDULE 13D/A,2025-11-07,YES,NO
AMC,0001104659-25-118936,SCHEDULE 13D/A,2025-12-05,YES,NO
AMC,0001104659-25-108577,SCHEDULE 13D/A,2025-11-07,YES,NO
AMCX,0001104659-25-089185,SCHEDULE 13D/A,2025-09-10,YES,NO
AMCX,0001104659-25-009163,SCHEDULE 13D/A,2025-02-04,YES,NO
AMCX,0001104659-24-132991,SCHEDULE 13D/A,2024-12-31,YES,NO
AMCX,0001104659-25-089185,SCHEDULE 13D/A,2025-09-10,YES,NO
