=== THREE-WAY COMPARISON SUMMARY ===
Date Range,2023-01-01 to 2026-03-28
Companies,796

=== TOTALS ===
sec-api.io filings found,40938
sec-api + Neo4j (have it),36242
sec-api but NOT Neo4j (PIPELINE LOST),4696
EDGAR but NOT sec-api (SOURCE GAP),440
EDGAR not sec-api not Neo4j (UNFIXABLE),159

"=== PIPELINE GAPS BY MONTH (sec-api HAS it, we DON'T) ==="
Month,8-K,10-Q,10-K,Other,Total
2023-01,4,0,0,2,6
2023-02,8,0,7,3,18
2023-03,4,0,2,10,16
2023-04,2,0,0,0,2
2023-05,15,7,0,1,23
2023-06,4,0,0,1,5
2023-07,6,1,0,2,9
2023-08,5,7,0,2,14
2023-09,2,0,0,6,8
2023-10,8,1,0,0,9
2023-11,9,6,0,1,16
2023-12,3,0,0,0,3
2024-01,6,0,0,0,6
2024-02,7,1,6,7,21
2024-03,4,0,0,3,7
2024-04,4,1,0,4,9
2024-05,103,4,1,2,110
2024-06,2,0,0,0,2
2024-07,6,0,0,0,6
2024-08,287,241,5,8,541
2024-09,1,0,0,0,1
2024-10,1,0,0,0,1
2024-11,174,38,16,33,261
2024-12,0,0,0,1,1
2025-02,6,2,5,1,14
2025-03,0,0,0,5,5
2025-04,0,0,0,1,1
2025-05,5,2,0,1,8
2025-06,0,0,0,3,3
2025-08,1,0,0,4,5
2025-10,1,0,0,0,1
2025-11,402,308,1,11,722
2025-12,21,0,0,2,23
2026-01,513,23,17,30,583
2026-02,974,73,495,52,1594
2026-03,512,25,74,31,642

"=== SOURCE GAPS BY MONTH (EDGAR has, sec-api DOESN'T, we don't) ==="
Month,8-K,10-Q,10-K,Other,Total
2023-01,5,0,0,0,5
2023-02,9,0,4,0,13
2023-03,8,0,0,0,8
2023-04,7,2,0,0,9
2023-05,11,2,0,0,13
2023-06,6,0,0,0,6
2023-07,5,3,0,0,8
2023-08,3,1,0,0,4
2023-09,4,0,0,0,4
2023-10,1,1,0,0,2
2023-12,1,0,0,0,1
2024-02,5,0,1,0,6
2024-05,2,1,0,0,3
2024-06,1,0,0,0,1
2024-07,1,0,0,0,1
2024-08,5,1,0,0,6
2024-09,0,0,0,1,1
2024-11,2,2,0,1,5
2024-12,0,0,0,1,1
2025-01,1,0,0,0,1
2025-02,3,0,1,0,4
2025-05,4,1,0,0,5
2025-06,1,0,0,0,1
2025-07,1,1,0,0,2
2025-08,1,1,0,0,2
2025-09,4,0,0,0,4
2025-10,5,1,0,0,6
2025-11,5,5,0,0,10
2026-01,8,0,0,0,8
2026-02,11,0,5,0,16
2026-03,2,0,1,0,3
