ticker,accession,formType,filedAt,in_neo4j,in_edgar
A,0001090872-25-000087,10-K,2025-12-19,YES,YES
AA,0001193125-26-019438,8-K,2026-01-22,YES,YES
AAL,0000006201-26-000008,8-K,2026-01-27,YES,YES
AAP,0001193125-26-049776,8-K,2026-02-13,YES,YES
AAP,0001628280-26-001962,8-K,2026-01-13,YES,YES
AAP,0001193125-26-051305,10-K,2026-02-13,YES,YES
AAPL,0000320193-26-000005,8-K,2026-01-29,YES,YES
AAPL,0001140361-26-000199,8-K,2026-01-02,YES,YES
AAPL,0000320193-26-000006,10-Q,2026-01-30,YES,YES
ABBV,0001551152-26-000004,8-K,2026-02-04,YES,YES
ABBV,0001551152-26-000002,8-K,2026-01-07,YES,YES
ABM,0001193125-26-039443,8-K,2026-02-05,YES,YES
ABM,0001193125-25-321680,8-K,2025-12-17,YES,YES
ABM,0000771497-25-000031,10-K,2025-12-19,YES,YES
ABNB,0001193125-26-048670,8-K,2026-02-12,YES,YES
ABNB,0001559720-26-000004,10-K,2026-02-12,YES,YES
ABT,0001628280-26-002982,8-K,2026-01-22,YES,YES
ACAD,0001193125-26-011706,8-K,2026-01-13,YES,YES
ACHC,0001193125-26-020169,8-K,2026-01-23,YES,YES
ACHC,0001437749-26-001486,8-K,2026-01-20,YES,YES
ACHC,0001437749-26-001137,8-K,2026-01-13,YES,YES
ACI,0001646972-26-000019,8-K,2026-02-02,YES,YES
ACI,0001646972-26-000015,8-K,2026-01-22,YES,YES
ACI,0001646972-26-000007,8-K,2026-01-07,YES,YES
ACI,0001646972-26-000010,10-Q,2026-01-07,YES,YES
ACM,0001104659-26-012069,8-K,2026-02-09,YES,YES
ACM,0000868857-26-000011,10-Q,2026-02-10,YES,YES
ACMR,0001680062-26-000020,8-K,2026-02-06,YES,YES
ACMR,0001680062-26-000016,8-K,2026-02-04,YES,YES
ACMR,0001680062-26-000012,8-K,2026-02-03,YES,YES
ACMR,0001680062-26-000009,8-K,2026-01-30,YES,YES
ACMR,0001680062-26-000003,8-K,2026-01-22,YES,YES
ACN,0001467373-26-000005,8-K,2026-01-28,YES,YES
ACN,0001467373-25-000221,8-K,2025-12-18,YES,YES
ACN,0001467373-25-000222,10-Q,2025-12-18,YES,YES
ADBE,0000796343-26-000019,8-K,2026-01-27,YES,YES
ADBE,0000796343-26-000003,10-K,2026-01-15,YES,YES
ADC,0000917251-26-000012,8-K,2026-02-10,YES,YES
ADC,0001104659-26-000619,8-K,2026-01-05,YES,YES
ADC,0000917251-26-000013,10-K,2026-02-10,YES,YES
ADI,0000006281-26-000008,8-K,2026-01-23,YES,YES
ADM,0000007084-26-000005,8-K,2026-02-03,YES,YES
ADM,0001193125-26-025560,8-K,2026-01-28,YES,YES
ADNT,0001670541-26-000032,8-K,2026-02-10,YES,YES
ADNT,0001670541-26-000022,8-K,2026-02-04,YES,YES
ADNT,0001670541-26-000007,8-K,2026-01-16,YES,YES
ADNT,0001670541-26-000024,10-Q,2026-02-04,YES,YES
ADSK,0000769397-26-000006,8-K,2026-01-22,YES,YES
AEE,0001002910-26-000005,8-K,2026-02-11,YES,YES
AEE,0001104659-26-012085,8-K,2026-02-09,YES,YES
AEIS,0000927003-26-000005,8-K,2026-02-10,YES,YES
AEIS,0001104659-26-014731,10-K,2026-02-13,YES,YES
AEP,0000004904-26-000011,8-K,2026-02-12,YES,YES
AEP,0000004904-26-000003,8-K,2026-01-08,YES,YES
