git_add_path	files	bytes
a3_recovery/regen_1541/bench/.claude/plans/Drivers/experiments/harness/exp5_prompt_producer.md	1	25844
a3_recovery/regen_1541/ledger/chrono_replay.py	1	60507
a3_recovery/regen_1541/ledger/replay_transcript.py	1	107525
a4_recovery/regen_1570/foundation/a3/bench/.claude/plans/Drivers/experiments/one_item_benchmark_inventory.json	1	86421
a4_recovery/regen_1570/foundation/a3/bench/.claude/plans/Drivers/experiments/runs/a3_serial_run/receipt.json	1	138988
a4_recovery/regen_1570/foundation/out/5/a4_dir.txt	1	176
a4_recovery/regen_1570/targeted_1589/final_adjudication_1500/out/attempt4/A/final_targeted.manifest.json	1	15427
a4_recovery/regen_1570/targeted_1589/final_adjudication_1500/out/attempt4/A/prompt_prefix_final_targeted.txt	1	54248
a4_recovery/regen_1570/targeted_1589/final_adjudication_1500/out/attempt5/A/LAUNCHERS.tsv	1	1508
a4_recovery/regen_1570/targeted_1589/final_adjudication_1500/out/attempt5/A/OPENED.tsv	1	580405
a4_recovery/regen_1570/targeted_1589/hard_review_1495/inputs/pointers/hr_dir.txt	1	179
a4_recovery/regen_1570/targeted_1589/hard_review_1495/out/attempt10/A/LAUNCHERS.tsv	1	3574
a4_recovery/regen_1570/targeted_1589/phase1_targeted_1488/inputs/one_item_benchmark_inventory.v2_1487.json	1	134064
a4_recovery/regen_1570/targeted_1589/post_1500_closure_1624/replay/scratch/test_a4_third_correction_1508.py	1	21716
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/A4_SOURCES.json	1	20
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/A6_R3_SOURCES.json	1	105
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/A6_SOURCES.json	1	105
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/FT_SOURCES.json	1	117
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/MANIFEST_1726.sha256	1	7411
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/freeze_1726.py	1	1056
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/logs/a6_20260905T222516.log	1	1990
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/logs/audit_20260905T205401.log	1	2902
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/a4_owner_1726/logs/first_a4_attempt_20260905T202523.log	1	4899
