caller reconstruct_1643.py	ae5f1116ae64c37aaa60d5538de6d3b1fad5ca995d57b76c8cb5e6e6f0dde74e
engine derive_hr_1495.py	a6805b1fb0175ad1439edc36befb47c4b7a6c6c2fe26035892760ac5d93e5c53
raw base raw_transport_64429e5f.py	64429e5fb59d19b63bbabe4af8809177755c3822a400e976532c579e15d77df5
DERIVATION.tsv	7a636fa6362ee8ae7e2ebfea2f5983be926a40fa268cb23c207cfa36664e1c8b
a6_launch_freeze.py	1250c47f29ee9725e7313d95d8e0ad19666bc8ba98767cacec5311f46b5202f5
raw_transport.py	b3ea04bfe7cd7562bf746d59d904f40330ecbfb302e9f51be92348679c35d795
transcript_line_77189 prints raw pre-edit hash (Codex events_all2 77188)	098cd7d38d0a4e2943fe6b5e07c1b2f9bf809e22926f70772e23582ed308b1c2
transcript_line_77959 prints both target hashes (Codex events_all2 77957)	99a2dd1de29d207ca771200f2205a3340e7411066296789672775a056ba0dfe4
time_1643.txt first-run rc1 evidence	14d565bd70842d5ac7606745bfdd612b5d88bfa707f5563108bf26cac812cb6c
a6_endpoint_evidence hard_review_1495/derived/DERIVATION.tsv	c3b5eb1f39a39797801b93504e9dc41d94b377e8e6e3b1f68de6f24effee3a18
a6_endpoint_evidence hard_review_1495/derived_probe/DERIVATION.tsv	003145e451f6bcdec761585e287ff07d2488d1554361b6968914a015163c8964
a6_endpoint_evidence hard_review_1495/derived_probe2/DERIVATION.tsv	c3b5eb1f39a39797801b93504e9dc41d94b377e8e6e3b1f68de6f24effee3a18
