,id,accessionNo,cik,ticker,companyName,companyNameLong,formType,description,filedAt,linkToTxt,linkToHtml,linkToXbrl,linkToFilingDetails,periodOfReport,effectivenessDate,entity_companyName,entity_cik,entity_irsNo,entity_stateOfIncorporation,entity_fiscalYearEnd,entity_type,entity_act,entity_fileNo,entity_filmNo,entity_sic,doc_sequence,doc_description,doc_documentUrl,doc_type,doc_size,data_sequence,data_description,data_documentUrl,data_type,data_size
0,20a4e6436473402f9d678142b538bbf0,0001494731-25-000001,1318605,TSLA,"Tesla, Inc.","Tesla, Inc. (Issuer)",4,Form 4 - Statement of changes in beneficial ownership of securities,2025-02-10T18:40:33-05:00,https://www.sec.gov/Archives/edgar/data/1318605/000149473125000001/0001494731-25-000001.txt,https://www.sec.gov/Archives/edgar/data/1318605/000149473125000001/0001494731-25-000001-index.htm,,https://www.sec.gov/Archives/edgar/data/1318605/000149473125000001/xslF345X05/edgardoc.xml,2025-02-06,,"Tesla, Inc. (Issuer)",1318605,912197729,DE,1231,,,,,3711 Motor Vehicles &amp; Passenger Car Bodies,,,,,,,,,,
1,20a4e6436473402f9d678142b538bbf0,0001494731-25-000001,1318605,TSLA,"Tesla, Inc.","Tesla, Inc. (Issuer)",4,Form 4 - Statement of changes in beneficial ownership of securities,2025-02-10T18:40:33-05:00,https://www.sec.gov/Archives/edgar/data/1318605/000149473125000001/0001494731-25-000001.txt,https://www.sec.gov/Archives/edgar/data/1318605/000149473125000001/0001494731-25-000001-index.htm,,https://www.sec.gov/Archives/edgar/data/1318605/000149473125000001/xslF345X05/edgardoc.xml,2025-02-06,,Musk Kimbal (Reporting),1494731,,,,4,34,001-34756,25607116,,,,,,,,,,,
2,20a4e6436473402f9d678142b538bbf0,0001494731-25-000001,1318605,TSLA,"Tesla, Inc.","Tesla, Inc. (Issuer)",4,Form 4 - Statement of changes in beneficial ownership of securities,2025-02-10T18:40:33-05:00,https://www.sec.gov/Archives/edgar/data/1318605/000149473125000001/0001494731-25-000001.txt,https://www.sec.gov/Archives/edgar/data/1318605/000149473125000001/0001494731-25-000001-index.htm,,https://www.sec.gov/Archives/edgar/data/1318605/000149473125000001/xslF345X05/edgardoc.xml,2025-02-06,,,,,,,,,,,,1,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1318605/000149473125000001/xslF345X05/edgardoc.xml,4, ,,,,,
3,20a4e6436473402f9d678142b538bbf0,0001494731-25-000001,1318605,TSLA,"Tesla, Inc.","Tesla, Inc. (Issuer)",4,Form 4 - Statement of changes in beneficial ownership of securities,2025-02-10T18:40:33-05:00,https://www.sec.gov/Archives/edgar/data/1318605/000149473125000001/0001494731-25-000001.txt,https://www.sec.gov/Archives/edgar/data/1318605/000149473125000001/0001494731-25-000001-index.htm,,https://www.sec.gov/Archives/edgar/data/1318605/000149473125000001/xslF345X05/edgardoc.xml,2025-02-06,,,,,,,,,,,,1,PRIMARY DOCUMENT,https://www.sec.gov/Archives/edgar/data/1318605/000149473125000001/edgardoc.xml,4,5345,,,,,
4,20a4e6436473402f9d678142b538bbf0,0001494731-25-000001,1318605,TSLA,"Tesla, Inc.","Tesla, Inc. (Issuer)",4,Form 4 - Statement of changes in beneficial ownership of securities,2025-02-10T18:40:33-05:00,https://www.sec.gov/Archives/edgar/data/1318605/000149473125000001/0001494731-25-000001.txt,https://www.sec.gov/Archives/edgar/data/1318605/000149473125000001/0001494731-25-000001-index.htm,,https://www.sec.gov/Archives/edgar/data/1318605/000149473125000001/xslF345X05/edgardoc.xml,2025-02-06,,,,,,,,,,,, ,Complete submission text file,https://www.sec.gov/Archives/edgar/data/1318605/000149473125000001/0001494731-25-000001.txt, ,6855,,,,,
5,efba33d9b729af7c61ac0edc848b3fe1,0001950047-25-000663,1318605,TSLA,"Tesla, Inc.","Tesla, Inc. (Subject)",144,Form 144 - Report of proposed sale of securities,2025-02-06T16:40:36-05:00,https://www.sec.gov/Archives/edgar/data/1318605/000195004725000663/0001950047-25-000663.txt,https://www.sec.gov/Archives/edgar/data/1318605/000195004725000663/0001950047-25-000663-index.htm,,https://www.sec.gov/Archives/edgar/data/1318605/000195004725000663/xsl144X01/primary_doc.xml,,,"Tesla, Inc. (Subject)",1318605,912197729,DE,1231,144,33,001-34756,25597984,3711 Motor Vehicles &amp; Passenger Car Bodies,,,,,,,,,,
6,efba33d9b729af7c61ac0edc848b3fe1,0001950047-25-000663,1318605,TSLA,"Tesla, Inc.","Tesla, Inc. (Subject)",144,Form 144 - Report of proposed sale of securities,2025-02-06T16:40:36-05:00,https://www.sec.gov/Archives/edgar/data/1318605/000195004725000663/0001950047-25-000663.txt,https://www.sec.gov/Archives/edgar/data/1318605/000195004725000663/0001950047-25-000663-index.htm,,https://www.sec.gov/Archives/edgar/data/1318605/000195004725000663/xsl144X01/primary_doc.xml,,,Musk Kimbal (Reporting),1494731,,,,144,,,,,,,,,,,,,,
7,efba33d9b729af7c61ac0edc848b3fe1,0001950047-25-000663,1318605,TSLA,"Tesla, Inc.","Tesla, Inc. (Subject)",144,Form 144 - Report of proposed sale of securities,2025-02-06T16:40:36-05:00,https://www.sec.gov/Archives/edgar/data/1318605/000195004725000663/0001950047-25-000663.txt,https://www.sec.gov/Archives/edgar/data/1318605/000195004725000663/0001950047-25-000663-index.htm,,https://www.sec.gov/Archives/edgar/data/1318605/000195004725000663/xsl144X01/primary_doc.xml,,,,,,,,,,,,,1,,https://www.sec.gov/Archives/edgar/data/1318605/000195004725000663/xsl144X01/primary_doc.xml,144, ,,,,,
8,efba33d9b729af7c61ac0edc848b3fe1,0001950047-25-000663,1318605,TSLA,"Tesla, Inc.","Tesla, Inc. (Subject)",144,Form 144 - Report of proposed sale of securities,2025-02-06T16:40:36-05:00,https://www.sec.gov/Archives/edgar/data/1318605/000195004725000663/0001950047-25-000663.txt,https://www.sec.gov/Archives/edgar/data/1318605/000195004725000663/0001950047-25-000663-index.htm,,https://www.sec.gov/Archives/edgar/data/1318605/000195004725000663/xsl144X01/primary_doc.xml,,,,,,,,,,,,,1,,https://www.sec.gov/Archives/edgar/data/1318605/000195004725000663/primary_doc.xml,144,3213,,,,,
9,efba33d9b729af7c61ac0edc848b3fe1,0001950047-25-000663,1318605,TSLA,"Tesla, Inc.","Tesla, Inc. (Subject)",144,Form 144 - Report of proposed sale of securities,2025-02-06T16:40:36-05:00,https://www.sec.gov/Archives/edgar/data/1318605/000195004725000663/0001950047-25-000663.txt,https://www.sec.gov/Archives/edgar/data/1318605/000195004725000663/0001950047-25-000663-index.htm,,https://www.sec.gov/Archives/edgar/data/1318605/000195004725000663/xsl144X01/primary_doc.xml,,,,,,,,,,,,, ,Complete submission text file,https://www.sec.gov/Archives/edgar/data/1318605/000195004725000663/0001950047-25-000663.txt, ,4710,,,,,
