bench_rel	sha256	durable_source
.claude/plans/Drivers/experiments/harness_g1v3/launch_kfields_a1.bundle.json	dc9442f344b59fae521dd6a6f672f7f9d627e143e24920977415ff591c995494	a4_recovery/regen_1570/targeted_1589/phase1_targeted_1488/inputs/a1_era/launch_kfields_a1.bundle.json
.claude/plans/Drivers/experiments/keys/K-fields/draft_inputs/0000006201-26-000031.json	43c5fdedfbb3822d7b5d800c0ad18437bcb37e379d4e3cb2e11ad9594ac79af5	a4_recovery/regen_1570/foundation/a3/bench/.claude/plans/Drivers/experiments/keys/K-fields/draft_inputs/0000006201-26-000031.json
.claude/plans/Drivers/experiments/keys/K-fields/draft_inputs/0000006201-26-000032.json	d3419e9d12c51d4fd1409fb90a00482e711a1392ffe393e87a77d907b00e1031	a4_recovery/regen_1570/foundation/a3/bench/.claude/plans/Drivers/experiments/keys/K-fields/draft_inputs/0000006201-26-000032.json
.claude/plans/Drivers/experiments/keys/K-fields/draft_inputs/0000027904-26-000013.json	03e28d879ba51a59b2be2bf1f750e52db10377b43e7393cb8178c7937944708d	a4_recovery/regen_1570/foundation/a3/bench/.claude/plans/Drivers/experiments/keys/K-fields/draft_inputs/0000027904-26-000013.json
.claude/plans/Drivers/experiments/keys/K-fields/draft_inputs/0000027904-26-000020.json	bf821a3a0180d4ee2b42fef5200da85fc325c55c349cd71d900af33baf2079e4	a4_recovery/regen_1570/foundation/a3/bench/.claude/plans/Drivers/experiments/keys/K-fields/draft_inputs/0000027904-26-000020.json
.claude/plans/Drivers/experiments/keys/K-fields/draft_inputs/0000027904-26-000022.json	b00c4251483fa1b0fd89130022b123980249c5c798091bfbbd6f7a0e7afb29e7	a4_recovery/regen_1570/foundation/a3/bench/.claude/plans/Drivers/experiments/keys/K-fields/draft_inputs/0000027904-26-000022.json
.claude/plans/Drivers/experiments/keys/K-fields/draft_inputs/0000063908-26-000032.json	cd2d7660e31042c45a7a6f2ea90d75ff546a224331cb1a9ef8423ae869eab6f6	a4_recovery/regen_1570/foundation/a3/bench/.claude/plans/Drivers/experiments/keys/K-fields/draft_inputs/0000063908-26-000032.json
.claude/plans/Drivers/experiments/keys/K-fields/draft_inputs/0000092380-26-000044.json	97085fd9139810967c3bf155d921c166ccc47190a35313a558b744e68a15bff3	a4_recovery/regen_1570/foundation/a3/bench/.claude/plans/Drivers/experiments/keys/K-fields/draft_inputs/0000092380-26-000044.json
.claude/plans/Drivers/experiments/keys/K-fields/draft_inputs/0000764478-25-000057.json	63c16c3603f98a2b9f095d4fb6e18ab8e3c0691a208dde749f1c236a49d8525f	a4_recovery/regen_1570/foundation/a3/bench/.claude/plans/Drivers/experiments/keys/K-fields/draft_inputs/0000764478-25-000057.json
.claude/plans/Drivers/experiments/keys/K-fields/draft_inputs/0000764478-26-000005.json	4c11045b3124146f30ee9cf50876a864628e1c958b91076a5da5a7410e5b5a19	a4_recovery/regen_1570/foundation/a3/bench/.claude/plans/Drivers/experiments/keys/K-fields/draft_inputs/0000764478-26-000005.json
