kind	name	sha16	path
module	__main__	3ca861729062ca14	/home/faisal/EventMarketDB-driver-recovery/a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/launcher/probe_identity.py
module	a1_reader	98055e556fdb0324	S/bench_1306/.claude/plans/Drivers/experiments/harness_g1v3/a1_reader.py
module	a6_launch_freeze	f0d7b8281ae13bc8	S/bench_1306/.claude/plans/Drivers/experiments/harness_g1v3/a6_launch_freeze.py
module	audit_worker_access	927446a67f804ff8	S/bench_1306/.claude/plans/Drivers/experiments/harness_g1v3/audit_worker_access.py
module	build_a5_exp5_kit	89853599d61b2c80	S/bench_1306/.claude/plans/Drivers/experiments/harness_g1v3/build_a5_exp5_kit.py
module	build_exp5_contract	ffbcab3d7c7cc4c4	S/bench_1306/.claude/plans/Drivers/experiments/harness_g1v3/build_exp5_contract.py
module	build_inventory_review	fcd18139f6c1393c	S/bench_1306/.claude/plans/Drivers/experiments/harness_g1v3/build_inventory_review.py
module	build_kfields_final	bad84b2f9fab1444	S/bench_1306/.claude/plans/Drivers/experiments/harness_g1v3/build_kfields_final.py
module	build_kfields_final_targeted	fb7c820d765565cc	S/bench_1306/.claude/plans/Drivers/experiments/harness_g1v3/build_kfields_final_targeted.py
module	build_kfields_hard_review	8eb98ec03331a2a6	S/bench_1306/.claude/plans/Drivers/experiments/harness_g1v3/build_kfields_hard_review.py
module	build_kfields_hard_review_targeted	b7a72cab000ff3d2	S/bench_1306/.claude/plans/Drivers/experiments/harness_g1v3/build_kfields_hard_review_targeted.py
module	build_kfields_hr_correction	d4a0323a43ddd8e6	S/bench_1306/.claude/plans/Drivers/experiments/harness_g1v3/build_kfields_hr_correction.py
module	build_kfields_key	2d90aed33aab8b99	S/bench_1306/.claude/plans/Drivers/experiments/harness_g1v3/build_kfields_key.py
module	build_kfields_key_targeted	0c1f335077926603	S/bench_1306/.claude/plans/Drivers/experiments/harness_g1v3/build_kfields_key_targeted.py
module	build_launch_manifest	e2a7fa9dbe6cd2ea	S/bench_1306/.claude/plans/Drivers/experiments/harness_g1v3/build_launch_manifest.py
module	driver	e3b0c44298fc1c14	S/bench_1306/driver/__init__.py
module	driver.core	e3b0c44298fc1c14	S/bench_1306/driver/core/__init__.py
module	driver.core.driver_fusion	f692340b9930c167	S/bench_1306/driver/core/driver_fusion.py
module	driver.core.driver_ids	7823875e62658ff1	S/bench_1306/driver/core/driver_ids.py
module	driver.core.driver_member_fold	3a8753a47f1a0288	S/bench_1306/driver/core/driver_member_fold.py
module	driver.core.driver_period_resolver	58431a987f67c10c	S/bench_1306/driver/core/driver_period_resolver.py
module	driver.core.driver_units	7e158626006860c4	S/bench_1306/driver/core/driver_units.py
module	driver.core.driver_validators	d7bdb4cfaf2f9aa2	S/bench_1306/driver/core/driver_validators.py
module	driver.core.driver_write_cli	2f716b3640cfd13b	S/bench_1306/driver/core/driver_write_cli.py
module	driver.core.driver_writer	52dd6c3083434caa	S/bench_1306/driver/core/driver_writer.py
module	driver.core.outcome_codes	9bc75bda8402d7d0	S/bench_1306/driver/core/outcome_codes.py
module	driver.core.prepared_fact_v2	a98d6c64c6c429d8	S/bench_1306/driver/core/prepared_fact_v2.py
module	driver.core.slice_axis_frozen	917d61c841619179	S/bench_1306/driver/core/slice_axis_frozen.py
module	driver.core.slice_menu	81885b0f3c8326d3	S/bench_1306/driver/core/slice_menu.py
module	driver.core.slot_convert	1e831b09b255b565	S/bench_1306/driver/core/slot_convert.py
module	driver.core.unit_resolver	1d4b6c44b14e5fae	S/bench_1306/driver/core/unit_resolver.py
module	driver.relocation.exact_numbers	0ab9d86e34e94bc0	S/bench_1306/driver/relocation/exact_numbers.py
module	driver.xml_names	f6cad0ca0e1fcda5	S/bench_1306/driver/xml_names.py
module	fiscal_math	74cd66c9a67b3801	S/bench_1306/.claude/skills/earnings-orchestrator/scripts/fiscal_math.py
module	guidance_ids	2552309ccf429be7	S/bench_1306/.claude/skills/earnings-orchestrator/scripts/guidance_ids.py
module	kf_lint	920742cf099fc56e	S/bench_1306/.claude/plans/Drivers/experiments/harness_g1v3/kf_lint.py
module	raw_transport	05b02f5bb67944d3	S/bench_1306/.claude/plans/Drivers/experiments/harness_g1v3/raw_transport.py
module	validate_benchmark_inventory	68ce2c1b487e1e0f	S/bench_1306/.claude/plans/Drivers/experiments/harness_g1v3/validate_benchmark_inventory.py
data	finalization.json	92e1872ce4e171e7	/home/faisal/EventMarketDB-driver-recovery/a4_recovery/regen_1570/foundation/a3/bench/.claude/plans/Drivers/experiments/runs/a3_serial_run/finalization.json
data	finalization.json	15cb7a2dc8c53f0d	/home/faisal/EventMarketDB-driver-recovery/a4_recovery/regen_1570/foundation/a3/bench/.claude/plans/Drivers/experiments/runs/a3_serial_run/retry/finalization.json
data	a3_serial_dir.txt	2a612229a48db01c	S/a3_serial_dir.txt
data	a2_runtime_freeze.json	c534022d391e409f	S/bench_1306/.claude/plans/Drivers/experiments/harness_g1v3/a2_runtime_freeze.json
data	exp5_rev4_package.md	c5211a1f8e96b053	S/bench_1306/.claude/plans/Drivers/experiments/harness_g1v3/exp5_rev4_package.md
data	launch_kfields_drafts.manifest.json	d65e4f877ebebfc2	S/bench_1306/.claude/plans/Drivers/experiments/harness_g1v3/launch_kfields_drafts.manifest.json
