dest_rel	sha256	durable_source
bench/bench_1306/.claude/plans/Drivers/experiments/kfields_final/decision_rules_1387.txt	d5830182899461c7a34f3eed3f3cc374a40412618f9c80e2047f029c6a933fb2	a4_recovery/regen_1570/foundation/out/3/bench_1306/.claude/plans/Drivers/experiments/kfields_final/decision_rules_1387.txt
bench/bench_1306/.claude/plans/Drivers/experiments/kfields_final/final.manifest.json	cc4d4d8e641340dbadd9977633d8f0abb5db66dc2528d22fc579915f395146fc	a4_recovery/regen_1570/foundation/out/3/bench_1306/.claude/plans/Drivers/experiments/kfields_final/final.manifest.json
bench/bench_1306/.claude/plans/Drivers/experiments/kfields_final/owner_rulings_1383.txt	a925ba6ffce6ae14a47c942f5c660c626d13c1060910c2e79055680c7632dbca	a4_recovery/regen_1570/foundation/out/3/bench_1306/.claude/plans/Drivers/experiments/kfields_final/owner_rulings_1383.txt
bench/bench_1306/.claude/plans/Drivers/experiments/kfields_final/prompt_prefix_final.txt	8bd77f7698876dae52b633ccf0e4bc5d5a3b4845c8d84f6348d9e30cdd16f8b5	a4_recovery/regen_1570/foundation/out/3/bench_1306/.claude/plans/Drivers/experiments/kfields_final/prompt_prefix_final.txt
bench/bench_1306/.claude/plans/Drivers/experiments/kfields_final/v4_findings_1390.txt	0b669decd55e430fb86271378db177a0b1c2525eaa6ec6455dfbb22d7fdce6e0	a4_recovery/regen_1570/foundation/out/3/bench_1306/.claude/plans/Drivers/experiments/kfields_final/v4_findings_1390.txt
bench/bench_1306/.claude/plans/Drivers/experiments/kfields_final/v5_findings_1394.txt	11a086123f4081be6561839527625ed42773faa800226520f6b7e01d6d98a1d1	a4_recovery/regen_1570/foundation/out/3/bench_1306/.claude/plans/Drivers/experiments/kfields_final/v5_findings_1394.txt
bench/bench_1306/.claude/plans/Drivers/experiments/kfields_final/v6_findings_1396.txt	b9842d7db6d3454587fc6bda25ec9bec41c3183832010b2a3f6d5189dda43ef3	a4_recovery/regen_1570/foundation/out/3/bench_1306/.claude/plans/Drivers/experiments/kfields_final/v6_findings_1396.txt
bench/bench_1306/.claude/plans/Drivers/experiments/kfields_key_a4/final_targeted_1499/final_targeted.manifest.json	7a20746c89bc895ede7e661586fe31c98e29132b3732f0d68006f888097805da	a4_recovery/regen_1570/targeted_1589/final_adjudication_1500/out/attempt4/A/final_targeted.manifest.json
bench/bench_1306/.claude/plans/Drivers/experiments/kfields_key_a4/final_targeted_1499/prompt_prefix_final_targeted.txt	ea52fd19c657037c1fdcf1f8f753d4d7435a26ab5c7cf255700c12c66ab7f9aa	a4_recovery/regen_1570/targeted_1589/final_adjudication_1500/out/attempt4/A/prompt_prefix_final_targeted.txt
bench/bench_1306/.claude/plans/Drivers/experiments/runs/kf-a4-corr-32-20260823T030745Z/finalization.json	c6b4388bbd867c8813637f0653f8298e55494dcdcc64dfcd113ac117865b53bf	a4_recovery/regen_1570/foundation/out/10/bench_1306/.claude/plans/Drivers/experiments/runs/kf-a4-corr-32-20260823T030745Z/finalization.json
bench/bench_1306/.claude/plans/Drivers/experiments/runs/kf-a4-corr-32-20260823T030745Z/raw/0000006201-26-000031.attempt1.proved.json	4dbd713bf077cbe2f93af2cfdfa6f54dd50c66704295c26f45d972a3d799fac0	a4_recovery/regen_1570/foundation/out/10/bench_1306/.claude/plans/Drivers/experiments/runs/kf-a4-corr-32-20260823T030745Z/raw/0000006201-26-000031.attempt1.proved.json
bench/bench_1306/.claude/plans/Drivers/experiments/runs/kf-a4-corr-32-20260823T030745Z/raw/0000006201-26-000032.attempt1.proved.json	301a2b5f77ce4c2b3627e937f1193a0ffe8f8618928f37fcdbfa301a89ca8a3d	a4_recovery/regen_1570/foundation/out/10/bench_1306/.claude/plans/Drivers/experiments/runs/kf-a4-corr-32-20260823T030745Z/raw/0000006201-26-000032.attempt1.proved.json
bench/bench_1306/.claude/plans/Drivers/experiments/runs/kf-a4-corr-32-20260823T030745Z/raw/0000027904-26-000013.attempt1.proved.json	8f770da084ce8089a357a277c7d29ae8c8849b1244a1b2a3c897e6e26bdd1cdc	a4_recovery/regen_1570/foundation/out/10/bench_1306/.claude/plans/Drivers/experiments/runs/kf-a4-corr-32-20260823T030745Z/raw/0000027904-26-000013.attempt1.proved.json
